res_hall,remaining,total,num_picks
Drop to 474,1,1,5
Drop to 304,1,1,5
Drop to 617,1,1,5
Caswell Hall,44,44,6
Drop to 414,1,1,6
Harkness House,9,9,6
Hegeman,24,24,6
Drop to 29,0,1,6
Goddard House,29,30,6
Morriss Hall,4,4,6
Young Orchard #4,13,13,6
Young Orchard #2,8,12,6
Hope College,39,39,6
Grad center D,1,1,6
New Pembroke #3,7,9,6
Drop to 488,1,1,6
Grad Center D,101,102,6
No Show,56,62,6
Woolley,16,27,6
Champlin,4,5,6
New Pembroke #4,16,21,6
Drop to 179,3,3,6
Drop to 365,1,1,6
Plantations House,5,9,6
Grad Center B,17,17,6
Drop to 151,1,1,6
Drop to 402,1,1,6
Slater Hall,15,21,6
Drop to 284,1,1,6
Drop to 413,1,1,6
Drop to 421,1,1,6
Chapin House,15,15,6
Gregorian Quad A,61,76,6
Young Orchard #10,10,10,6
Drop to 248,1,1,6
Grad Center A,16,16,6
Barbour Hall,13,14,6
111 Brown Street,6,6,6
Minden,47,55,6
Olney House,5,7,6
Littlefield Hall,24,24,6
Pass,76,77,6
Emery,12,19,6
Drop to 215,1,1,6
Drop to 139,1,1,6
Drop to 554,1,1,6
Grad Center d,2,2,6
New Pembroke #1,17,17,6
Drop to 398,1,1,6
Drop to 692,1,1,6
Gregorian Quad B,29,53,6
Drop to 377,1,1,6
Drop to 145,1,1,6
Drop to 441,2,2,6
Barbour Hall Apartments,25,27,6
Drop to 415,3,3,6
Grad Center C,17,17,6
Drop to 394,1,1,6
Drop to 261,1,1,6
315 Thayer,5,19,6
Sears House,16,16,6
Diman House,12,12,6
Drop to 564,1,1,6
Marcy House,14,14,6
Machado,11,12,6
Drop to 587,1,1,6
Drop to 474,1,1,6
Drop to 304,1,1,6
Drop to 617,1,1,6
Caswell Hall,44,44,7
Drop to 414,1,1,7
Harkness House,9,9,7
Hegeman,24,24,7
Drop to 29,0,1,7
Goddard House,29,30,7
Morriss Hall,4,4,7
Young Orchard #4,13,13,7
Young Orchard #2,7,12,7
Hope College,39,39,7
Grad center D,1,1,7
New Pembroke #3,7,9,7
Drop to 488,1,1,7
Grad Center D,101,102,7
No Show,56,62,7
Woolley,12,27,7
Champlin,1,5,7
New Pembroke #4,16,21,7
Drop to 179,3,3,7
Drop to 365,1,1,7
Plantations House,5,9,7
Grad Center B,17,17,7
Drop to 151,1,1,7
Drop to 402,1,1,7
Slater Hall,15,21,7
Drop to 284,1,1,7
Drop to 413,1,1,7
Drop to 421,1,1,7
Chapin House,15,15,7
Gregorian Quad A,59,76,7
Young Orchard #10,10,10,7
Drop to 248,1,1,7
Grad Center A,16,16,7
Barbour Hall,13,14,7
111 Brown Street,6,6,7
Minden,46,55,7
Olney House,5,7,7
Littlefield Hall,24,24,7
Pass,76,77,7
Emery,9,19,7
Drop to 215,1,1,7
Drop to 139,1,1,7
Drop to 554,1,1,7
Grad Center d,2,2,7
New Pembroke #1,17,17,7
Drop to 398,1,1,7
Drop to 692,1,1,7
Gregorian Quad B,27,53,7
Drop to 377,1,1,7
Drop to 145,1,1,7
Drop to 441,2,2,7
Barbour Hall Apartments,25,27,7
Drop to 415,3,3,7
Grad Center C,17,17,7
Drop to 394,1,1,7
Drop to 261,1,1,7
315 Thayer,3,19,7
Sears House,14,16,7
Diman House,12,12,7
Drop to 564,1,1,7
Marcy House,14,14,7
Machado,10,12,7
Drop to 587,1,1,7
Drop to 474,1,1,7
Drop to 304,1,1,7
Drop to 617,1,1,7
Caswell Hall,44,44,8
Drop to 414,1,1,8
Harkness House,9,9,8
Hegeman,23,24,8
Drop to 29,0,1,8
Goddard House,27,30,8
Morriss Hall,4,4,8
Young Orchard #4,9,13,8
Young Orchard #2,6,12,8
Hope College,39,39,8
Grad center D,1,1,8
New Pembroke #3,6,9,8
Drop to 488,1,1,8
Grad Center D,98,102,8
No Show,56,62,8
Woolley,9,27,8
Champlin,1,5,8
New Pembroke #4,16,21,8
Drop to 179,3,3,8
Drop to 365,1,1,8
Plantations House,5,9,8
Grad Center B,17,17,8
Drop to 151,1,1,8
Drop to 402,1,1,8
Slater Hall,15,21,8
Drop to 284,1,1,8
Drop to 413,1,1,8
Drop to 421,1,1,8
Chapin House,15,15,8
Gregorian Quad A,58,76,8
Young Orchard #10,10,10,8
Drop to 248,1,1,8
Grad Center A,16,16,8
Barbour Hall,13,14,8
111 Brown Street,6,6,8
Minden,45,55,8
Olney House,5,7,8
Littlefield Hall,24,24,8
Pass,76,77,8
Emery,9,19,8
Drop to 215,1,1,8
Drop to 139,1,1,8
Drop to 554,1,1,8
Grad Center d,2,2,8
New Pembroke #1,17,17,8
Drop to 398,1,1,8
Drop to 692,1,1,8
Gregorian Quad B,27,53,8
Drop to 377,1,1,8
Drop to 145,1,1,8
Drop to 441,2,2,8
Barbour Hall Apartments,25,27,8
Drop to 415,3,3,8
Grad Center C,17,17,8
Drop to 394,1,1,8
Drop to 261,1,1,8
315 Thayer,3,19,8
Sears House,13,16,8
Diman House,12,12,8
Drop to 564,1,1,8
Marcy House,14,14,8
Machado,9,12,8
Drop to 587,1,1,8
Drop to 474,1,1,8
Drop to 304,1,1,8
Drop to 617,1,1,8
Caswell Hall,44,44,9
Drop to 414,1,1,9
Harkness House,9,9,9
Hegeman,23,24,9
Drop to 29,0,1,9
Goddard House,20,30,9
Morriss Hall,4,4,9
Young Orchard #4,9,13,9
Young Orchard #2,6,12,9
Hope College,39,39,9
Grad center D,1,1,9
New Pembroke #3,4,9,9
Drop to 488,1,1,9
Grad Center D,98,102,9
No Show,56,62,9
Woolley,7,27,9
Champlin,0,5,9
New Pembroke #4,16,21,9
Drop to 179,3,3,9
Drop to 365,1,1,9
Plantations House,5,9,9
Grad Center B,17,17,9
Drop to 151,1,1,9
Drop to 402,1,1,9
Slater Hall,15,21,9
Drop to 284,1,1,9
Drop to 413,1,1,9
Drop to 421,1,1,9
Chapin House,15,15,9
Gregorian Quad A,58,76,9
Young Orchard #10,10,10,9
Drop to 248,1,1,9
Grad Center A,16,16,9
Barbour Hall,13,14,9
111 Brown Street,6,6,9
Minden,43,55,9
Olney House,5,7,9
Littlefield Hall,24,24,9
Pass,76,77,9
Emery,4,19,9
Drop to 215,1,1,9
Drop to 139,0,1,9
Drop to 554,1,1,9
Grad Center d,2,2,9
New Pembroke #1,17,17,9
Drop to 398,1,1,9
Drop to 692,1,1,9
Gregorian Quad B,26,53,9
Drop to 377,1,1,9
Drop to 145,1,1,9
Drop to 441,2,2,9
Barbour Hall Apartments,24,27,9
Drop to 415,3,3,9
Grad Center C,17,17,9
Drop to 394,1,1,9
Drop to 261,1,1,9
315 Thayer,2,19,9
Sears House,13,16,9
Diman House,12,12,9
Drop to 564,1,1,9
Marcy House,14,14,9
Machado,5,12,9
Drop to 587,1,1,9
Drop to 474,1,1,9
Drop to 304,1,1,9
Drop to 617,1,1,9
Caswell Hall,44,44,10
Drop to 414,1,1,10
Harkness House,9,9,10
Hegeman,21,24,10
Drop to 29,0,1,10
Goddard House,17,30,10
Morriss Hall,4,4,10
Young Orchard #4,9,13,10
Young Orchard #2,6,12,10
Hope College,39,39,10
Grad center D,1,1,10
New Pembroke #3,4,9,10
Drop to 488,1,1,10
Grad Center D,97,102,10
No Show,55,62,10
Woolley,1,27,10
Champlin,0,5,10
New Pembroke #4,15,21,10
Drop to 179,3,3,10
Drop to 365,1,1,10
Plantations House,5,9,10
Grad Center B,17,17,10
Drop to 151,0,1,10
Drop to 402,1,1,10
Slater Hall,15,21,10
Drop to 284,1,1,10
Drop to 413,1,1,10
Drop to 421,1,1,10
Chapin House,15,15,10
Gregorian Quad A,57,76,10
Young Orchard #10,10,10,10
Drop to 248,1,1,10
Grad Center A,16,16,10
Barbour Hall,13,14,10
111 Brown Street,6,6,10
Minden,43,55,10
Olney House,5,7,10
Littlefield Hall,24,24,10
Pass,76,77,10
Emery,4,19,10
Drop to 215,1,1,10
Drop to 139,0,1,10
Drop to 554,1,1,10
Grad Center d,2,2,10
New Pembroke #1,17,17,10
Drop to 398,1,1,10
Drop to 692,1,1,10
Gregorian Quad B,25,53,10
Drop to 377,1,1,10
Drop to 145,0,1,10
Drop to 441,2,2,10
Barbour Hall Apartments,23,27,10
Drop to 415,3,3,10
Grad Center C,17,17,10
Drop to 394,1,1,10
Drop to 261,1,1,10
315 Thayer,1,19,10
Sears House,13,16,10
Diman House,12,12,10
Drop to 564,1,1,10
Marcy House,14,14,10
Machado,4,12,10
Drop to 587,1,1,10
Drop to 474,1,1,10
Drop to 304,1,1,10
Drop to 617,1,1,10
Caswell Hall,44,44,11
Drop to 414,1,1,11
Harkness House,9,9,11
Hegeman,20,24,11
Drop to 29,0,1,11
Goddard House,16,30,11
Morriss Hall,4,4,11
Young Orchard #4,9,13,11
Young Orchard #2,6,12,11
Hope College,39,39,11
Grad center D,1,1,11
New Pembroke #3,2,9,11
Drop to 488,1,1,11
Grad Center D,96,102,11
No Show,54,62,11
Woolley,1,27,11
Champlin,0,5,11
New Pembroke #4,14,21,11
Drop to 179,3,3,11
Drop to 365,1,1,11
Plantations House,5,9,11
Grad Center B,17,17,11
Drop to 151,0,1,11
Drop to 402,1,1,11
Slater Hall,15,21,11
Drop to 284,1,1,11
Drop to 413,1,1,11
Drop to 421,1,1,11
Chapin House,14,15,11
Gregorian Quad A,55,76,11
Young Orchard #10,10,10,11
Drop to 248,1,1,11
Grad Center A,16,16,11
Barbour Hall,13,14,11
111 Brown Street,6,6,11
Minden,43,55,11
Olney House,5,7,11
Littlefield Hall,24,24,11
Pass,75,77,11
Emery,1,19,11
Drop to 215,1,1,11
Drop to 139,0,1,11
Drop to 554,1,1,11
Grad Center d,2,2,11
New Pembroke #1,17,17,11
Drop to 398,1,1,11
Drop to 692,1,1,11
Gregorian Quad B,25,53,11
Drop to 377,1,1,11
Drop to 145,0,1,11
Drop to 441,2,2,11
Barbour Hall Apartments,23,27,11
Drop to 415,3,3,11
Grad Center C,17,17,11
Drop to 394,1,1,11
Drop to 261,1,1,11
315 Thayer,1,19,11
Sears House,12,16,11
Diman House,12,12,11
Drop to 564,1,1,11
Marcy House,14,14,11
Machado,3,12,11
Drop to 587,1,1,11
Drop to 474,1,1,11
Drop to 304,1,1,11
Drop to 617,1,1,11
Caswell Hall,44,44,12
Drop to 414,1,1,12
Harkness House,9,9,12
Hegeman,20,24,12
Drop to 29,0,1,12
Goddard House,15,30,12
Morriss Hall,4,4,12
Young Orchard #4,9,13,12
Young Orchard #2,4,12,12
Hope College,39,39,12
Grad center D,1,1,12
New Pembroke #3,0,9,12
Drop to 488,1,1,12
Grad Center D,96,102,12
No Show,53,62,12
Woolley,1,27,12
Champlin,0,5,12
New Pembroke #4,6,21,12
Drop to 179,0,3,12
Drop to 365,1,1,12
Plantations House,5,9,12
Grad Center B,17,17,12
Drop to 151,0,1,12
Drop to 402,1,1,12
Slater Hall,15,21,12
Drop to 284,1,1,12
Drop to 413,1,1,12
Drop to 421,1,1,12
Chapin House,14,15,12
Gregorian Quad A,53,76,12
Young Orchard #10,10,10,12
Drop to 248,1,1,12
Grad Center A,16,16,12
Barbour Hall,13,14,12
111 Brown Street,6,6,12
Minden,43,55,12
