Number,Residence Hall,Room,Occupancy,Time
301,Wayland House,400B,7,4/13/10 8:20:33
301,Archibald House,131,1,4/13/10 8:20:42
302,Gregorian Quad B,106,4,4/13/10 8:21:11
303,Hegeman,E112,3,4/13/10 8:21:35
304,Chapin House,114A,1,4/13/10 8:21:56
305,Woolley,419,1,4/13/10 8:22:11
305,Woolley,423,1,4/13/10 8:22:12
305,Woolley,415,1,4/13/10 8:22:18
306,New Pembroke #4,219,1,4/13/10 8:22:38
307,Slater Hall,302,2,4/13/10 8:22:57
307,Slater Hall,303,2,4/13/10 8:22:58
307,Slater Hall,202,2,4/13/10 8:22:59
308,Minden,815,3,4/13/10 8:23:13
309,Slater Hall,203,2,4/13/10 8:23:26
310,Chapin House,114B,1,4/13/10 8:24:37
311,Grad Center B,330,4,4/13/10 8:24:51
312,Emery,401,1,4/13/10 8:25:13
312,Emery,404,1,4/13/10 8:25:22
313,Emery,411,1,4/13/10 8:25:39
313,Emery,409,1,4/13/10 8:25:40
313,Emery,317,1,4/13/10 8:25:42
313,Emery,311,1,4/13/10 8:25:44
314,Champlin,108,1,4/13/10 8:25:59
315,Hegeman,E113,3,4/13/10 8:26:25
316,Drop to 354,,,4/13/10 8:26:39
317,Hegeman,D211,3,4/13/10 8:27:06
318,Gregorian Quad B,108,4,4/13/10 8:27:25
318,Gregorian Quad B,110,4,4/13/10 8:27:26
318,Gregorian Quad B,104,4,4/13/10 8:27:27
319,Gregorian Quad A,201,4,4/13/10 8:27:42
319,Gregorian Quad A,202,4,4/13/10 8:27:42
320,Woolley,407,1,4/13/10 8:27:59
321,Drop to 396,,,4/13/10 8:28:17
322,Gregorian Quad A,402,4,4/13/10 8:29:43
322,Gregorian Quad A,403,4,4/13/10 8:29:44
323,Barbour Hall Apartments,310,3,4/13/10 8:30:06
324,Hegeman,C402,3,4/13/10 8:30:26
324,Machado,32,1,4/13/10 8:30:34
324,Machado,38,1,4/13/10 8:30:35
325,Gregorian Quad A,309,4,4/13/10 8:31:06
325,Gregorian Quad A,311,4,4/13/10 8:31:07
326,Gregorian Quad A,214,4,4/13/10 8:31:29
326,Emery,217,1,4/13/10 8:31:38
326,New Pembroke #4,320,1,4/13/10 8:31:41
327,Gregorian Quad A,203,4,4/13/10 8:32:04
328,Woolley,123,1,4/13/10 8:32:21
329,Woolley,416,1,4/13/10 8:32:41
329,Woolley,406,1,4/13/10 8:32:42
329,Woolley,323,1,4/13/10 8:32:44
329,Woolley,315,1,4/13/10 8:32:45
329,Woolley,307,1,4/13/10 8:32:48
329,Woolley,223,1,4/13/10 8:32:50
329,Everett House,324,1,4/13/10 8:32:59
330,New Pembroke #4,209,1,4/13/10 8:33:22
330,New Pembroke #4,217,1,4/13/10 8:33:24
331,Wayland House,400A,7,4/13/10 8:33:45
332,Gregorian Quad B,201,4,4/13/10 8:34:11
332,Gregorian Quad B,202,4,4/13/10 8:34:11
332,Woolley,119,1,4/13/10 8:34:20
333,Woolley,207,1,4/13/10 8:34:39
333,Hegeman,C208,3,4/13/10 8:34:48
334,Hegeman,D309,3,4/13/10 8:35:04
334,Minden,306,2,4/13/10 8:35:15
334,Woolley,206,1,4/13/10 8:35:25
335,Chapin House,326A,1,4/13/10 8:36:09
335,Chapin House,326B,1,4/13/10 8:36:10
336,Gregorian Quad A,209,4,4/13/10 8:36:45
337,Gregorian Quad A,211,4,4/13/10 8:36:58
337,Gregorian Quad A,401,4,4/13/10 8:36:59
338,Hegeman,E212,2,4/13/10 8:37:22
339,Grad Center C,510,6,4/13/10 8:37:42
340,No Show,,,4/13/10 8:38:07
341,Gregorian Quad A,407,4,4/13/10 8:38:46
341,Gregorian Quad A,408,2,4/13/10 8:38:47
342,New Pembroke #4,303,1,4/13/10 8:39:34
343,Minden,615,3,4/13/10 8:40:01
343,Minden,513,3,4/13/10 8:40:02
344,Gregorian Quad B,302,4,4/13/10 8:40:20
345,Gregorian Quad B,105,4,4/13/10 8:40:35
346,Gregorian Quad B,404,4,4/13/10 8:40:51
346,New Pembroke #4,423,1,4/13/10 8:41:00
347,Slater Hall,201,4,4/13/10 8:41:20
347,Hegeman,C308,3,4/13/10 8:41:27
348,Gregorian Quad B,102,4,4/13/10 8:41:46
348,Grad Center A,230,4,4/13/10 8:41:56
348,Poland House,201,1,4/13/10 8:42:00
349,Grad Center C,110,4,4/13/10 8:42:40
350,Hegeman,C109,3,4/13/10 8:42:54
350,Minden,706,2,4/13/10 8:43:00
351,Hegeman,D403,3,4/13/10 8:43:45
351,New Pembroke #4,313,1,4/13/10 8:44:04
352,Barbour Hall Apartments,130,3,4/13/10 8:44:21
353,Hegeman,C108,3,4/13/10 8:44:35
353,Hegeman,D111,3,4/13/10 8:44:41
353,Poland House,327,1,4/13/10 8:44:46
354,Grad Center A,440,6,4/13/10 8:45:08
354,Grad Center A,410,5,4/13/10 8:45:10
355,Hegeman,B104,3,4/13/10 8:45:52
355,New Pembroke #4,301,1,4/13/10 8:45:56
356,New Pembroke #4,302,1,4/13/10 8:46:49
357,Poland House,323,1,4/13/10 8:47:06
357,Poland House,325,1,4/13/10 8:47:06
358,Poland House,207,1,4/13/10 8:47:20
359,Minden,506,2,4/13/10 8:47:36
359,Minden,508,2,4/13/10 8:47:36
359,Poland House,418,1,4/13/10 8:47:45
360,Hegeman,A103,3,4/13/10 8:48:06
360,Hegeman,D404,3,4/13/10 8:48:07
361,New Pembroke #4,325,1,4/13/10 8:48:30
362,New Pembroke #4,323,1,4/13/10 8:48:44
362,New Pembroke #4,326,1,4/13/10 8:48:48
362,New Pembroke #4,327,1,4/13/10 8:48:49
362,New Pembroke #4,402,1,4/13/10 8:49:00
362,New Pembroke #4,403,1,4/13/10 8:49:02
363,New Pembroke #3,315,1,4/13/10 8:49:21
363,New Pembroke #3,317,1,4/13/10 8:49:22
364,Slater Hall,401,3,4/13/10 8:49:48
364,Slater Hall,304,4,4/13/10 8:49:49
365,New Pembroke #4,425,1,4/13/10 8:50:03
365,New Pembroke #3,215,1,4/13/10 8:50:31
366,New Pembroke #4,421,1,4/13/10 8:51:21
366,New Pembroke #4,413,1,4/13/10 8:51:21
366,New Pembroke #4,427,1,4/13/10 8:51:21
366,New Pembroke #4,426,1,4/13/10 8:51:22
367,Barbour Hall Apartments,120,4,4/13/10 8:52:26
368,New Pembroke #2,204,1,4/13/10 8:52:53
369,New Pembroke #3,103,1,4/13/10 8:53:27
369,New Pembroke #3,217,1,4/13/10 8:53:28
369,New Pembroke #3,218,1,4/13/10 8:53:29
369,New Pembroke #3,203,1,4/13/10 8:53:30
370,Poland House,202,1,4/13/10 8:53:48
370,Poland House,203,1,4/13/10 8:53:49
370,Gregorian Quad B,307,5,4/13/10 8:53:58
370,Minden,315,3,4/13/10 8:54:08
371,Minden,507,3,4/13/10 8:54:41
372,Minden,415,3,4/13/10 8:55:02
372,Poland House,321,1,4/13/10 8:55:17
372,Poland House,334,1,4/13/10 8:55:18
372,Poland House,336,1,4/13/10 8:55:18
372,Archibald House,217,1,4/13/10 8:55:54
372,Poland House,338,1,4/13/10 8:55:52
373,Minden,308,2,4/13/10 8:56:29
374,Grad Center B,340,5,4/13/10 8:56:45
374,Archibald House,218,1,4/13/10 8:56:52
374,Archibald House,227,1,4/13/10 8:56:54
375,Grad Center B,530,5,4/13/10 8:57:10
376,New Pembroke #3,303,1,4/13/10 8:57:22
