Caswell Hall,Harkness House,Perkins Hall,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,Grad Center D,Grad Center B,Machado House,New Pembroke #4,Plantations House,111 Brown Street,Slater Hall,Grad Center C,Chapin House,Gregorian Quad A,Diman House,Gregorian Quad B,Barbour Hall,Grad center A,Olney House,Littlefield Hall,New Pembroke #1,Wayland House,Barbour Hall Apartments,Hegeman,315 Thayer,Sears House,Young Orchard #10,Marcy House,Minden
0,0,59,0,0,0,0,12,0,0,0,1,16,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,2,0
0,0,59,0,0,0,0,12,0,0,0,1,15,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,2,0
0,0,59,0,0,0,0,12,0,0,0,1,14,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,2,0
0,0,58,0,0,0,0,12,0,0,0,1,14,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,2,0
0,0,51,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0
0,0,50,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0
0,0,49,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0
0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
