room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
Metcalf 407,200,0,221,121,0,0,0,0
Metcalf 406,312,184,256,251,0,0,0,0
Metcalf 404,245,0,0,200,0,0,0,0
Emery 220,391,214,37,155,175,118,13,0
Mead House 218,368,357,486,480,414,439,0,0
Mead House 211,647,706,0,662,0,0,0,0
Mead House 216,368,375,486,480,399,451,0,0
Slater Hall 207,0,0,0,0,9,1,2,0
Woolley 318,376,335,0,221,242,154,85,0
Woolley 319,376,407,337,351,242,0,118,0
Woolley 315,376,407,329,351,329,315,0,0
Woolley 316,376,335,329,351,253,154,118,0
New Pembroke #4 416,0,0,0,0,0,0,0,743
New Pembroke #4 417,0,0,0,0,0,0,0,746
New Pembroke #4 410,0,0,0,0,0,0,0,746
New Pembroke #4 411,0,0,0,0,0,0,0,711
New Pembroke #4 413,630,458,638,596,366,367,170,711
New Pembroke #4 418,0,0,0,0,0,0,0,743
New Pembroke #4 419,0,0,0,0,0,0,0,753
315 Thayer 340,0,0,0,0,0,0,284,118
Marcy House 330,0,0,0,356,0,0,0,0
New Pembroke #4 308,0,0,0,0,0,0,0,738
New Pembroke #4 309,0,0,0,0,0,0,0,686
Wayland House 314,0,0,0,0,0,0,0,646
Wayland House 313,215,312,229,258,173,244,0,0
Wayland House 312,0,0,0,203,173,255,0,0
Wayland House 311,0,0,0,0,0,0,0,646
New Pembroke #4 301,194,466,430,0,355,339,180,686
New Pembroke #4 302,613,473,524,476,356,380,193,686
New Pembroke #4 303,621,441,422,415,342,343,0,686
New Pembroke #4 305,0,0,0,0,0,0,0,665
Wayland House 318,146,67,64,176,196,207,0,537
Diman House 206B,481,0,0,0,0,0,0,0
Grad Center D 120,593,512,529,632,555,540,0,0
Grad Center D 123,0,0,0,0,0,0,312,365
Marcy House 208,0,0,0,0,0,0,0,675
East Andrews 408,30,129,191,129,46,75,0,0
East Andrews 404,186,186,0,0,0,0,0,0
East Andrews 406,11,41,191,0,0,0,0,0
Sears House 326A,0,0,358,0,264,253,0,0
Sears House 326B,0,0,336,0,264,253,0,0
Archibald House 221,423,378,424,426,0,377,0,0
Perkins Hall 131,0,0,0,0,0,0,0,765
Archibald House 227,431,398,368,527,374,403,0,0
Perkins Hall 130,0,0,0,0,0,0,0,765
Perkins Hall 133,0,0,0,0,0,0,0,720
Perkins Hall 132,0,0,0,0,0,0,0,760
Marcy House 119,649,702,641,658,625,669,616,0
Barbour Hall Apartments 40,0,77,0,0,0,287,0,632
Perkins Hall 134,0,0,0,0,0,0,0,710
Perkins Hall 137,0,0,0,0,0,0,0,742
Hope College 120,469,0,0,0,0,0,510,571
Grad Center C 540,297,427,464,427,591,588,572,483
Gregorian Quad B 110,310,316,306,378,318,360,326,416
Morris Hall 101,332,0,0,0,0,0,0,0
Perkins Hall 118,0,0,0,0,0,0,0,757
Gregorian Quad A 611,0,0,0,0,0,0,319,219
Gregorian Quad A 612,0,0,0,0,0,0,311,43
Perkins Hall 113,0,0,0,0,0,0,0,747
Perkins Hall 117,0,0,0,0,0,0,0,745
Perkins Hall 116,0,0,0,0,0,0,0,745
Perkins Hall 115,0,0,0,0,0,0,0,735
Perkins Hall 114,0,0,0,0,0,0,0,735
Barbour Hall Apartments 160,0,358,508,0,385,479,498,679
New Pembroke #4 307,0,0,0,0,0,0,0,665
Gregorian Quad B 208,130,258,290,342,276,242,270,312
Gregorian Quad B 205,0,0,185,199,241,0,0,0
Gregorian Quad B 204,147,137,268,167,276,293,275,239,338
Grad Center B 640,413,468,230,0,403,574,515,417
Gregorian Quad B 206,85,197,185,347,239,0,235,275
Grad Center B 310,614,428,599,357,536,635,393,474
Gregorian Quad B 203,219,105,153,289,249,273,125,277
Gregorian Quad B 202,298,276,243,363,332,352,281,365
New Pembroke #2 104,462,0,661,89,384,0,0,103
New Pembroke #2 105,656,0,649,664,632,0,0,442
Morriss Hall 101,0,0,0,0,0,0,314,0
New Pembroke #2 102,656,0,649,539,448,0,0,0
New Pembroke #2 103,590,0,423,0,0,0,0,0
Young Orchard #4 420,106,124,247,124,108,93,263,127
Grad Center C 610,321,678,606,308,436,0,0,503
Everett House 124,0,0,627,0,0,0,0,0
East Andrews 358,121,127,105,106,146,72,0,0
East Andrews 356,167,186,283,168,91,118,0,0
Gregorian Quad A 501,0,0,0,0,0,0,305,314
Gregorian Quad A 503,0,0,0,0,0,0,475,0
Gregorian Quad A 502,0,0,0,0,0,0,475,378
Gregorian Quad A 505,0,0,0,0,0,0,473,378
Gregorian Quad A 504,0,0,0,0,0,0,470,0
Gregorian Quad A 507,0,0,0,0,0,0,271,266
Caswell Hall 209,539,0,0,0,533,554,525,614
Caswell Hall 206,517,521,537,529,509,494,494,578
Gregorian Quad A 508,0,0,0,0,0,0,330,251
