score,room,rank,occupancy
13.114877048604001,Grad center A 624,304,1
13.114877048604001,Grad center A 625,305,1
13.114877048604001,Grad center A 626,306,1
13.150438967228133,Metcalf 102,307,1
13.152946437965905,Grad center A 442,308,1
13.16643417238617,East Andrews 262,309,1
13.189347966902149,Young Orchard #4 240,310,4
13.195227185445249,Metcalf 123,311,1
13.20119780988631,Metcalf 323,312,1
13.201945633196225,Metcalf 400,313,1
13.228756555322953,Marcy House 213,314,1
13.242509392970378,Grad Center D 315,315,1
13.299378989905675,Wayland House 318,316,1
13.30413469565007,Grad center A 341,317,1
13.32028452695465,Wayland House 330,318,1
13.336068123683154,Metcalf 407,319,1
13.34323827629642,West Andrews 201,320,1
13.344991862823136,Gregorian Quad B 207,321,5
13.36017813238918,Metcalf 208,322,1
13.377459683785196,Champlin 103,323,1
13.394149961098321,Miller 105,324,2
13.396724121113365,Grad Center D 432,325,1
13.397879420843072,New Pembroke #4 227,326,1
13.410432764171654,Plantations House 204,327,1
13.414561829711639,Metcalf 310,328,1
13.444523892249494,Grad Center D 415,329,1
13.446255837279226,Grad Center D 524,330,1
13.450317589254116,Sears House 221,331,1
13.49730269838347,Metcalf 222,332,1
13.504027039124505,Hegeman C307,333,3
13.517113671481331,Gregorian Quad A 207,334,5
13.548137715299017,Metcalf 325,335,1
13.557708315648007,Grad Center D 222,336,1
13.578298361510232,Metcalf 308,337,1
13.596753286365868,Grad Center D 431,338,1
13.596753286365868,Grad Center D 434,339,1
13.60269675902418,Plantations House 101,340,1
13.617994823704919,Metcalf 209,341,1
13.621358180702734,Woolley 129,342,1
13.626880553845902,Grad Center D 224,343,1
13.638181696985855,East Andrews 404,344,1
13.639100752723936,Woolley 429,345,1
13.760505084755065,Metcalf 112,346,1
13.773806123510552,Gregorian Quad A 306,347,4
13.776671483434184,Emery 420,348,1
13.813447504517329,Grad Center D 231,349,1
13.819609159011424,Hegeman B206,350,3
13.841203509523213,Grad Center D 121,351,1
13.857540018776467,315 Thayer 340,352,6
13.860066650756195,Grad Center D 641,353,1
13.884179929652397,Metcalf 111,354,1
13.892258776487342,Gregorian Quad A 310,355,5
13.916727499166635,Wayland House 326,356,1
13.927632530153485,Young Orchard #4 430,357,4
13.928388277184119,Grad center A 621,358,1
13.959885247679308,Champlin 323,359,1
13.968481548943691,Miller 117,360,1
13.975103363835322,Hope College 108,361,1
13.991075542067396,Gregorian Quad B 307,362,5
14.005388221287834,Wayland House 332,363,1
14.024364075590849,Hegeman E215,364,3
14.024560793771883,Gregorian Quad A 308,365,5
14.030233233961223,Hope College 314,366,1
14.050601868206519,Goddard House 332,367,1
14.071247279470288,Grad center A 313,368,1
14.116849516185034,Grad Center A 320,369,4
14.156136341663865,Miller 413,370,1
14.156465246808985,Grad Center C 410A,371,2
14.156644388139572,Grad Center D 441,372,1
14.201823324351183,Grad Center D 243,373,1
14.206656157449132,Minden 207,374,2
14.209309510330023,Grad Center D 321,375,1
14.211921374760859,Miller 100,376,1
14.222818266633874,Wayland House 212,377,1
14.224506899706522,Grad Center D 241,378,1
14.236717812951506,Gregorian Quad A 208,379,5
14.243162745917596,Young Orchard #10 340,380,4
14.25654606324404,Metcalf 318,381,1
14.281784137233423,Grad Center D 214,382,1
14.317627321783913,Gregorian Quad B 203,383,4
14.317821063276353,Grad center A 426,384,1
14.323128581528728,Grad Center D 646,385,1
14.337397165588673,Grad Center D 322,386,1
14.352700094407323,Grad center A 412,387,1
14.361237603934761,Grad Center D 324,388,1
14.3910272399403,Miller 115,389,1
14.399418869691308,Sears House 114B,390,1
14.410793728220453,Gregorian Quad B 205,391,4
14.415491099782408,Grad Center D 444,392,1
14.420302311536139,Gregorian Quad A 301,393,4
14.42353995899129,Metcalf 317,394,1
14.430350770270849,Grad Center D 525,395,1
14.434264885972652,Metcalf 302,396,1
14.440185961799079,Hegeman A201,397,3
14.447584761002494,Minden 809,398,2
14.450923146107959,Goddard House 333,399,1
14.456490903137407,Wayland House 312,400,1
14.47041651289261,Emery 204,401,1
14.487634834070654,Wayland House 213,402,1
14.491376746189438,Olney House 311,403,1
14.516088888814256,Olney House 314,404,1
14.524213396575689,Hegeman E116,405,3
14.534739671627543,Gregorian Quad A 210,406,5
14.536475241090415,Gregorian Quad B 308,407,4
14.544719061374058,Miller 102,408,1
14.546688975090772,Young Orchard #10 330,409,4
14.560219778561036,Champlin 114,410,1
14.56307649313179,Grad Center D 213,411,1
14.567641475937188,Wayland House 304,412,1
14.572423322183269,Goddard House 321,413,1
14.59179401769909,Metcalf 314,414,1
14.594519519326424,Fake Building 100,415,1
14.594519519326424,Goddard House 234,416,1
14.607527477156632,Metcalf 316,417,1
14.66287829861518,Sears House 212,418,1
14.693868332302412,Gregorian Quad B 206,419,4
14.699469287021449,Woolley 229,420,1
14.730919862656235,Marcy House 303,421,1
14.761628014312864,Emery 201,422,1
14.764201632039565,Grad Center D 341,423,1
14.767854443584557,Gregorian Quad B 310,424,4
14.771976948924936,Young Orchard #10 230,425,4
14.774536036600827,Poland House 332,426,1
14.79234433899574,Champlin 305,427,1
14.82483571178015,Hegeman B306,428,3
14.831655867586377,Woolley 329,429,1
14.832396974191326,Grad center A 446,430,1
14.843851909371566,Sears House 319,431,1
14.852362069203076,Barbour Hall Apartments 230,432,3
14.85429614128347,Hope College 316,433,1
14.897174288719174,Young Orchard #4 440,434,4
14.89730573311474,Metcalf 404,435,1
14.89966442575134,Grad center A 424,436,1
14.918431676199255,Minden 407,437,2
14.930721553488471,Grad Center D 541,438,1
14.933184523068078,Grad center A 623,439,1
14.933184523068078,Miller 415,440,1
14.957560114015791,Woolley 318,441,1
14.982939716553631,Grad Center D 344,442,1
14.99147222518244,Grad Center D 242,443,1
14.998238431780019,Poland House 319,444,1
15.0,Olney House 309,445,1
15.0,Olney House 310,446,1
15.001406686566384,Young Orchard #10 320,447,4
15.014693182963201,Grad Center D 542,448,1
15.027990035011696,Young Orchard #10 430,449,4
15.059867232586225,Grad Center D 225,450,1
15.075004484767492,Grad Center D 421,451,1
15.09136131557813,Gregorian Quad B 303,452,4
15.094181482436024,Young Orchard #4 120,453,4
15.125677659156944,Grad Center B 330,454,4
15.12986337061453,Metcalf 419,455,1
15.139137142787265,Young Orchard #10 410,456,4
15.140372539429302,Grad Center D 612,457,1
15.173632719986651,Wayland House 337,458,1
15.196924001441753,Gregorian Quad A 304,459,4
15.209864037155993,Grad Center D 221,460,1
15.213174837304052,Metcalf 412,461,1
15.227535734693159,Hope College 116,462,1
15.231546211727817,Grad Center D 313,463,1
15.231546211727817,Woolley 109,464,4
15.234763469107431,Minden 307,465,2
15.253402742399349,Gregorian Quad B 204,466,4
15.268617937083878,Hope College 106,467,1
15.302356922389187,Grad Center D 343,468,1
15.323039529628126,Gregorian Quad B 304,469,4
15.362291495737216,Grad center A 334,470,1
15.37259590740358,Young Orchard #10 420,471,4
15.380364345263683,Gregorian Quad A 406,472,4
15.382495029280109,Wayland House 313,473,1
15.384891952372499,Wayland House 237,474,1
15.393894082311295,Wayland House 346,475,1
15.400796627237554,Metcalf 410,476,1
15.402530452209367,Sears House 306A,477,1
15.414581044806994,Young Orchard #10 110,478,4
15.433139604287454,Grad Center D 223,479,1
15.464186949345127,Grad Center D 435,480,1
15.470646717016866,Sears House 220,481,1
15.472592514220759,Sears House 309,482,1
15.473249602537976,Woolley 113,483,1
15.479479400434812,Gregorian Quad B 305,484,4
15.487862734088207,Grad Center D 544,485,1
15.508324942845272,Hope College 408,486,1
15.517995201297961,Grad Center D 413,487,1
15.51878306203468,Metcalf 418,488,1
15.544423344577192,Hegeman B207,489,2
15.556349186104045,Grad center A 431,490,1
15.570212452268539,Grad Center D 323,491,1
15.574984522730748,Grad Center D 522,492,1
15.576655846027712,Minden 707,493,2
15.584813266991363,Grad Center D 615,494,1
15.5858134647745,Emery 217,495,1
15.602287159986728,Metcalf 217,496,1
15.622989993650078,Woolley 218,497,1
15.657626894892271,New Pembroke #3 212,498,1
15.662475852090084,Goddard House 330,499,1
15.671160367677096,Young Orchard #10 120,500,4
15.677089287487087,Grad Center D 226,501,1
15.680464629318646,Gregorian Quad A 512,502,2
15.68725596661,Hegeman C209,503,3
15.707619702316947,Olney House 316,504,1
15.716233645501712,Grad Center d 446,505,1
15.716233645501712,Grad center A 314,506,1
15.728527710901549,Emery 117,507,1
15.743036033302985,Grad Center D 414,508,1
15.748015748023622,Grad Center D 331,509,1
15.748015748023622,Grad Center D 332,510,1
15.76037963381992,Poland House 207,511,1
15.766176210650354,Olney House 319,512,1
15.767790304165274,Metcalf 406,513,1
15.779733838059499,Sears House 311,514,1
15.81297814814258,Emery 417,515,1
15.824371862814059,Emery 404,516,1
15.86951257706335,Machado 124,517,1
15.879826614027605,Metcalf 413,518,1
15.890904052673832,Metcalf 225,519,1
15.900126245407805,Gregorian Quad A 212,520,4
15.906695928007101,Gregorian Quad A 204,521,4
15.917115995217777,Gregorian Quad A 206,522,4
15.920721840708387,Grad Center D 543,523,1
15.936802648059116,Goddard House 303,524,1
15.937377450509228,Fake Building 12,525,1
15.943909633635982,Sears House 310,526,1
15.961279924493493,Metcalf 408,527,1
15.963871382010396,New Pembroke #2 307,528,1
15.980903255390045,New Pembroke #4 320,529,1
15.986851215927331,Woolley 206,530,1
15.992290519541635,Hegeman D310,531,3
16.00289684024985,Grad Center D 314,532,1
16.014248393969599,Emery 101,533,1
16.046032641160107,Champlin 108,534,1
16.06237840420901,Grad center A 345,535,1
16.06237840420901,Grad center A 346,536,1
16.063714855090151,Woolley 306,537,1
16.069900646195748,Gregorian Quad A 309,538,4
16.084412531470228,Grad Center D 633,539,1
16.084412531470228,Grad Center D 635,540,1
16.092910215702677,Archibald House 307,541,1
16.093288411503639,Grad Center D 144,542,1
16.093476939431081,Grad center A 221,543,1
16.145741035864368,Gregorian Quad A 203,544,4
16.156444549973074,Gregorian Quad B 208,545,4
16.163150446708691,Gregorian Quad B 106,546,4
16.165898393940513,Emery 304,547,1
16.167102872650858,Hope College 308,548,1
16.185648795853936,Gregorian Quad B 210,549,4
16.186414056238647,Grad Center D 335,550,1
16.194584490976911,Hegeman B304,551,3
16.200270436900805,Gregorian Quad A 401,552,4
16.202652074158404,Woolley 219,553,1
16.204589988537993,Hegeman D210,554,3
16.249357663939804,Woolley 316,555,1
16.289577527525108,Woolley 223,556,1
16.307236110965498,Grad Center D 232,557,1
16.307411460709428,Woolley 418,558,1
16.329609843220247,Gregorian Quad A 611,559,2
16.334932206398037,Hegeman E212,560,2
16.340134638368191,Grad center A 641,561,1
16.344962561086788,Grad Center D 424,562,1
16.346854804223522,Gregorian Quad A 312,563,4
16.354754618069041,New Pembroke #2 207,564,1
16.355248660627346,Grad Center D 531,565,1
16.356285547680859,Woolley 416,566,1
16.381566660070014,Grad Center D 445,567,1
16.38579203172721,Gregorian Quad A 507,568,2
16.39946081763452,New Pembroke #4 403,569,1
16.40075296441551,Grad Center D 423,570,1
16.40269144447749,Grad Center D 614,571,1
16.413993447652192,Emery 401,572,1
16.426509563727219,Hegeman C401,573,3
16.449216919769523,Gregorian Quad B 301,574,4
16.457576619237404,Metcalf 409,575,1
16.45974485553177,Gregorian Quad A 314,576,4
16.46207763315433,Grad center A 422,577,1
16.469519988086201,Hegeman E213,578,3
16.492954560444211,Goddard House 319,579,1
16.5146931829632,Goddard House 221,580,1
16.522711641858304,Machado 321,581,1
16.533930756126093,Gregorian Quad A 311,582,4
16.560045611290587,New Pembroke #2 301,583,1
16.568247969615641,Young Orchard #10 440,584,4
16.61324772583615,Grad Center D 334,585,1
16.614768365773582,Hope College 114,586,1
16.643316977093239,Grad center A 131,587,1
16.643316977093239,Grad center A 132,588,1
16.644362429102383,Sears House 222,589,1
16.645808232895291,Grad Center D 235,590,1
16.651834741591564,Hope College 406,591,1
16.655125177783265,Woolley 207,592,1
16.657469553659411,Gregorian Quad A 202,593,4
16.669315499625309,Chapin House 320,594,1
16.696679015962413,Goddard House 334,595,1
16.697402159170327,Grad Center D 443,596,1
16.705201530938577,Hegeman D211,597,3
16.723706649140329,Gregorian Quad A 404,598,4
16.731922000422518,Hegeman C208,599,3
16.733339246761656,Woolley 118,600,1
16.742222590695867,Grad Center D 632,601,1
16.746939578595047,Goddard House 312,602,1
16.759120459378522,Grad Center D 145,603,1
16.763054614240211,Fake Building 9,604,1
16.767404918140009,Gregorian Quad B 107,605,5
16.768261731445381,Woolley 216,606,1
16.796159650420488,New Pembroke #4 219,607,1
16.812379680125051,Hegeman C308,608,3
16.828117769894046,Sears House 326B,609,1
16.852545723115419,New Pembroke #2 302,610,1
16.86163988747494,Woolley 106,611,1
16.866394836585517,Gregorian Quad A 303,612,4
16.898590047956802,Olney House 224,613,1
16.923479873623876,Grad Center D 346,614,1
16.928133708002939,Marcy House 228,615,1
16.92970929658599,Goddard House 331,616,1
16.934152004916164,Gregorian Quad A 201,617,4
16.94842913823042,Metcalf 414,618,1
16.951882971147537,Barbour Hall Apartments 40,619,4
16.955799270963809,Grad Center D 112,620,1
16.961033560450709,Grad Center D 312,621,1
16.970562748477139,Machado 320,622,1
16.970562748477139,Machado 322,623,1
16.994988252782452,Hegeman C402,624,3
16.996811729526911,Goddard House 316,625,1
16.998249182546957,New Pembroke #2 303,626,1
17.004440821169904,Gregorian Quad A 508,627,2
17.024979486094431,Sears House 326A,628,1
17.029386365926403,Grad center A 241,629,1
17.041806917066257,Champlin 306,630,1
17.043549281302717,Metcalf 218,631,1
17.046004168339849,Olney House 223,632,1
17.04781900357272,Gregorian Quad A 209,633,4
17.050775017550592,Woolley 423,634,1
17.052696316990883,Woolley 415,635,1
