room,occupancy,ratty_dist,main_green_dist,nelson_dist,score
Wayland House 230,1,0.001267304,0.001463704,0.006804493,12.35181268
Grad center A 441,1,0.002033301,0.003816952,0.007674111,12.36931688
Miller 119,1,0.005212861,0.004169464,0.004259293,12.3748643
Sears House 327,1,0.000618306,0.001760093,0.006174125,12.41828212
Metcalf 315,1,0.00528862,0.004033401,0.004736,12.42125407
Miller 108,1,0.005212861,0.004169464,0.004259293,12.44744656
Gregorian Quad A 307,5,0.002219058,0.004508411,0.006818289,12.45022016
Minden 607,2,0.003007532,0.004380877,0.003093356,12.57085831
Grad center A 315,1,0.002033301,0.003816952,0.007674111,12.60952021
West Andrews 359,1,0.00541031,0.004249048,0.004532952,12.62091703
Miller 118,1,0.005212861,0.004169464,0.004259293,12.64035068
Grad Center D 311,1,0.001636932,0.003782765,0.006953485,12.6451547
Young Orchard #10 310,4,0.005475101,0.007769158,0.00646132,12.65462727
Metcalf 313,1,0.00528862,0.004033401,0.004736,12.65561201
East Andrews 456,1,0.00541031,0.004249048,0.004532952,12.68922006
West Andrews 453,1,0.00541031,0.004249048,0.004532952,12.71306479
Metcalf 110,1,0.00528862,0.004033401,0.004736,12.72101164
Fake Building 10,1,0.004866504,0.007174255,0.00629313,12.72792206
Emery 320,1,0.004294951,0.003511129,0.0038919,12.74743948
Champlin 423,1,0.005148864,0.004313313,0.003806538,12.76385044
Grad center A 444,1,0.002033301,0.003816952,0.007674111,12.76714533
Grad center A 445,1,0.002033301,0.003816952,0.007674111,12.76714533
Grad Center D 521,1,0.001636932,0.003782765,0.006953485,12.76833501
East Andrews 356,1,0.00541031,0.004249048,0.004532952,12.79121457
Metcalf 109,1,0.00528862,0.004033401,0.004736,12.84418225
Young Orchard #10 240,4,0.005475101,0.007769158,0.00646132,12.85935703
Wayland House 322,1,0.001267304,0.001463704,0.006804493,12.87529942
Young Orchard #4 220,4,0.004866504,0.007174255,0.00629313,12.89313046
Metcalf 306,1,0.00528862,0.004033401,0.004736,12.91599131
East Andrews 410,1,0.00541031,0.004249048,0.004532952,12.92271079
Grad center A 432,1,0.002033301,0.003816952,0.007674111,12.92284798
Grad center A 433,1,0.002033301,0.003816952,0.007674111,12.92284798
Young Orchard #4 110,4,0.004866504,0.007174255,0.00629313,12.94766111
Metcalf 309,1,0.00528862,0.004033401,0.004736,13.00963878
Young Orchard #4 410,4,0.004866504,0.007174255,0.00629313,13.08314466
Gregorian Quad B 306,4,0.002313592,0.004546342,0.007093942,13.08837691
Metcalf 202,1,0.00528862,0.004033401,0.004736,13.08946421
Goddard House 233,1,0.001031328,0.002885086,0.006880921,13.11487705
Grad center A 624,1,0.002033301,0.003816952,0.007674111,13.11487705
Grad center A 625,1,0.002033301,0.003816952,0.007674111,13.11487705
Grad center A 626,1,0.002033301,0.003816952,0.007674111,13.11487705
Metcalf 102,1,0.00528862,0.004033401,0.004736,13.15043897
Grad center A 442,1,0.002033301,0.003816952,0.007674111,13.15294644
East Andrews 262,1,0.00541031,0.004249048,0.004532952,13.16643417
Young Orchard #4 240,4,0.004866504,0.007174255,0.00629313,13.18934797
Metcalf 123,1,0.00528862,0.004033401,0.004736,13.19522719
Metcalf 323,1,0.00528862,0.004033401,0.004736,13.20119781
Metcalf 400,1,0.00528862,0.004033401,0.004736,13.20194563
Marcy House 213,1,0.00044831,0.002460934,0.006377106,13.22875656
Grad Center D 315,1,0.001636932,0.003782765,0.006953485,13.24250939
Wayland House 318,1,0.001267304,0.001463704,0.006804493,13.29937899
Grad center A 341,1,0.002033301,0.003816952,0.007674111,13.3041347
Wayland House 330,1,0.001267304,0.001463704,0.006804493,13.32028453
Metcalf 407,1,0.00528862,0.004033401,0.004736,13.33606812
West Andrews 201,1,0.00541031,0.004249048,0.004532952,13.34323828
Gregorian Quad B 207,5,0.002313592,0.004546342,0.007093942,13.34499186
Metcalf 208,1,0.00528862,0.004033401,0.004736,13.36017813
Champlin 103,1,0.005148864,0.004313313,0.003806538,13.37745968
Miller 105,2,0.005212861,0.004169464,0.004259293,13.39414996
Grad Center D 432,1,0.001636932,0.003782765,0.006953485,13.39672412
New Pembroke #4 227,1,0.005197807,0.004671321,0.003122637,13.39787942
Plantations House 204,1,0.005500362,0.004662943,0.003795809,13.41043276
Metcalf 310,1,0.00528862,0.004033401,0.004736,13.41456183
Grad Center D 415,1,0.001636932,0.003782765,0.006953485,13.44452389
Grad Center D 524,1,0.001636932,0.003782765,0.006953485,13.44625584
Sears House 221,1,0.000618306,0.001760093,0.006174125,13.45031759
Metcalf 222,1,0.00528862,0.004033401,0.004736,13.4973027
Hegeman C307,3,0.000737564,0.002443331,0.005211221,13.50402704
Gregorian Quad A 207,5,0.002219058,0.004508411,0.006818289,13.51711367
Metcalf 325,1,0.00528862,0.004033401,0.004736,13.54813772
Grad Center D 222,1,0.001636932,0.003782765,0.006953485,13.55770832
Metcalf 308,1,0.00528862,0.004033401,0.004736,13.57829836
Grad Center D 431,1,0.001636932,0.003782765,0.006953485,13.59675329
Grad Center D 434,1,0.001636932,0.003782765,0.006953485,13.59675329
Plantations House 101,1,0.005500362,0.004662943,0.003795809,13.60269676
Metcalf 209,1,0.00528862,0.004033401,0.004736,13.61799482
Woolley 129,1,0.004494434,0.003844705,0.00357181,13.62135818
Grad Center D 224,1,0.001636932,0.003782765,0.006953485,13.62688055
East Andrews 404,1,0.00541031,0.004249048,0.004532952,13.6381817
Woolley 429,1,0.004494434,0.003844705,0.00357181,13.63910075
Metcalf 112,1,0.00528862,0.004033401,0.004736,13.76050508
Gregorian Quad A 306,4,0.002219058,0.004508411,0.006818289,13.77380612
Emery 420,1,0.004294951,0.003511129,0.0038919,13.77667148
Grad Center D 231,1,0.001636932,0.003782765,0.006953485,13.8134475
Hegeman B206,3,0.000737564,0.002443331,0.005211221,13.81960916
Grad Center D 121,1,0.001636932,0.003782765,0.006953485,13.84120351
315 Thayer 340,6,0.005500862,0.00509805,0.002791982,13.85754002
Grad Center D 641,1,0.001636932,0.003782765,0.006953485,13.86006665
Metcalf 111,1,0.00528862,0.004033401,0.004736,13.88417993
Gregorian Quad A 310,5,0.002219058,0.004508411,0.006818289,13.89225878
Wayland House 326,1,0.001267304,0.001463704,0.006804493,13.9167275
Young Orchard #4 430,4,0.004866504,0.007174255,0.00629313,13.92763253
Grad center A 621,1,0.002033301,0.003816952,0.007674111,13.92838828
Champlin 323,1,0.005148864,0.004313313,0.003806538,13.95988525
Miller 117,1,0.005212861,0.004169464,0.004259293,13.96848155
Hope College 108,1,0.003188155,0.000856981,0.006815006,13.97510336
Gregorian Quad B 307,5,0.002313592,0.004546342,0.007093942,13.99107554
Wayland House 332,1,0.001267304,0.001463704,0.006804493,14.00538822
Hegeman E215,3,0.000737564,0.002443331,0.005211221,14.02436408
Gregorian Quad A 308,5,0.002219058,0.004508411,0.006818289,14.02456079
Hope College 314,1,0.003188155,0.000856981,0.006815006,14.03023323
Goddard House 332,1,0.001031328,0.002885086,0.006880921,14.05060187
Grad center A 313,1,0.002033301,0.003816952,0.007674111,14.07124728
Grad Center A 320,4,0.002033301,0.003816952,0.007674111,14.11684952
Miller 413,1,0.005212861,0.004169464,0.004259293,14.15613634
Grad Center C 410A,2,0.002140607,0.004200177,0.007408663,14.15646525
Grad Center D 441,1,0.001636932,0.003782765,0.006953485,14.15664439
Grad Center D 243,1,0.001636932,0.003782765,0.006953485,14.20182332
Minden 207,2,0.003007532,0.004380877,0.003093356,14.20665616
Grad Center D 321,1,0.001636932,0.003782765,0.006953485,14.20930951
Miller 100,1,0.005212861,0.004169464,0.004259293,14.21192137
Wayland House 212,1,0.001267304,0.001463704,0.006804493,14.22281827
Grad Center D 241,1,0.001636932,0.003782765,0.006953485,14.2245069
Gregorian Quad A 208,5,0.002219058,0.004508411,0.006818289,14.23671781
Young Orchard #10 340,4,0.005475101,0.007769158,0.00646132,14.24316275
Metcalf 318,1,0.00528862,0.004033401,0.004736,14.25654606
Grad Center D 214,1,0.001636932,0.003782765,0.006953485,14.28178414
Gregorian Quad B 203,4,0.002313592,0.004546342,0.007093942,14.31762732
Grad center A 426,1,0.002033301,0.003816952,0.007674111,14.31782106
Grad Center D 646,1,0.001636932,0.003782765,0.006953485,14.32312858
Grad Center D 322,1,0.001636932,0.003782765,0.006953485,14.33739717
Grad center A 412,1,0.002033301,0.003816952,0.007674111,14.35270009
Grad Center D 324,1,0.001636932,0.003782765,0.006953485,14.3612376
Miller 115,1,0.005212861,0.004169464,0.004259293,14.39102724
Sears House 114B,1,0.000618306,0.001760093,0.006174125,14.39941887
Gregorian Quad B 205,4,0.002313592,0.004546342,0.007093942,14.41079373
Grad Center D 444,1,0.001636932,0.003782765,0.006953485,14.4154911
Gregorian Quad A 301,4,0.002219058,0.004508411,0.006818289,14.42030231
Metcalf 317,1,0.00528862,0.004033401,0.004736,14.42353996
Grad Center D 525,1,0.001636932,0.003782765,0.006953485,14.43035077
Metcalf 302,1,0.00528862,0.004033401,0.004736,14.43426489
Hegeman A201,3,0.000737564,0.002443331,0.005211221,14.44018596
Minden 809,2,0.003007532,0.004380877,0.003093356,14.44758476
Goddard House 333,1,0.001031328,0.002885086,0.006880921,14.45092315
Wayland House 312,1,0.001267304,0.001463704,0.006804493,14.4564909
