res_hall,remaining,total,num_picks
Young Orchard #4,10,12,6
Young Orchard #2,5,11,6
Drop to 329,1,1,6
New Pembroke #3,36,36,6
New Pembroke #2,11,16,6
Grad Center D,102,108,6
No Show,93,95,6
Grad Center B,18,18,6
Drop to 134,1,1,6
New Pembroke #4,49,49,6
Drop to 97,0,1,6
Drop to 178,1,1,6
Drop to 295,1,1,6
Drop to 508,1,1,6
Drop to 509,1,1,6
Drop to 157,1,1,6
Drop to 121,1,1,6
Slater Hall,16,21,6
Drop to 702,1,1,6
Drop to 421,1,1,6
Chapin House,6,6,6
Gregorian Quad A,55,76,6
Drop to 462,1,1,6
Gregorian Quad B,26,53,6
Barbour Hall,16,16,6
111 Brown Street,6,6,6
Grad center A,82,83,6
Olney House,16,16,6
Young Orchard #10,12,12,6
Fake Building,19,19,6
Littlefield Hall,16,16,6
Machado House,11,11,6
Pass,49,49,6
Drop to 370,1,1,6
Drop to 720,1,1,6
Drop to 312,1,1,6
Drop to 493,1,1,6
Drop to 491,1,1,6
Drop to 217,1,1,6
New Pembroke #1,10,14,6
Wayland House,19,19,6
Drop to 162,1,1,6
Drop to 741,1,1,6
Drop to 459,2,2,6
Drop to 164,1,1,6
Drop to 515,1,1,6
Drop to 257,1,1,6
Barbour Hall Apartments,29,29,6
Minden,49,57,6
Grad Center C,15,15,6
Drop to 483,1,1,6
Plantations House,9,9,6
315 Thayer,3,13,6
Sears House,14,14,6
Diman House,13,13,6
Drop to 533,1,1,6
Drop to 454,1,1,6
Marcy House,18,18,6
Drop to 473,1,1,6
Hope College,38,38,6
Caswell Hall,46,46,7
Harkness House,14,14,7
Drop to 22,0,1,7
Hegeman,23,31,7
Drop to 316,1,1,7
Perkins Hall,67,67,7
Goddard House,22,22,7
Young Orchard #4,9,12,7
Young Orchard #2,5,11,7
Drop to 329,1,1,7
New Pembroke #3,36,36,7
New Pembroke #2,3,16,7
Grad Center D,101,108,7
No Show,92,95,7
Grad Center B,18,18,7
Drop to 134,1,1,7
New Pembroke #4,49,49,7
Drop to 97,0,1,7
Drop to 178,1,1,7
Drop to 295,1,1,7
Drop to 508,1,1,7
Drop to 509,1,1,7
Drop to 157,1,1,7
Drop to 121,0,1,7
Slater Hall,16,21,7
Drop to 702,1,1,7
Drop to 421,1,1,7
Chapin House,6,6,7
Gregorian Quad A,53,76,7
Drop to 462,1,1,7
Gregorian Quad B,26,53,7
Barbour Hall,16,16,7
111 Brown Street,6,6,7
Grad center A,78,83,7
Olney House,16,16,7
Young Orchard #10,12,12,7
Fake Building,19,19,7
Littlefield Hall,16,16,7
Machado House,11,11,7
Pass,48,49,7
Drop to 370,1,1,7
Drop to 720,1,1,7
Drop to 312,1,1,7
Drop to 493,1,1,7
Drop to 491,1,1,7
Drop to 217,1,1,7
New Pembroke #1,5,14,7
Wayland House,19,19,7
Drop to 162,1,1,7
Drop to 741,1,1,7
Drop to 459,2,2,7
Drop to 164,1,1,7
Drop to 515,1,1,7
Drop to 257,1,1,7
Barbour Hall Apartments,29,29,7
Minden,49,57,7
Grad Center C,15,15,7
Drop to 483,1,1,7
Plantations House,9,9,7
315 Thayer,3,13,7
Sears House,14,14,7
Diman House,13,13,7
Drop to 533,1,1,7
Drop to 454,1,1,7
Marcy House,18,18,7
Drop to 473,1,1,7
Hope College,38,38,7
Caswell Hall,46,46,8
Harkness House,14,14,8
Drop to 22,0,1,8
Hegeman,23,31,8
Drop to 316,1,1,8
Perkins Hall,67,67,8
Goddard House,22,22,8
Young Orchard #4,7,12,8
Young Orchard #2,3,11,8
Drop to 329,1,1,8
New Pembroke #3,36,36,8
New Pembroke #2,3,16,8
Grad Center D,99,108,8
No Show,90,95,8
Grad Center B,18,18,8
Drop to 134,1,1,8
New Pembroke #4,49,49,8
Drop to 97,0,1,8
Drop to 178,1,1,8
Drop to 295,1,1,8
Drop to 508,1,1,8
Drop to 509,1,1,8
Drop to 157,1,1,8
Drop to 121,0,1,8
Slater Hall,16,21,8
Drop to 702,1,1,8
Drop to 421,1,1,8
Chapin House,6,6,8
Gregorian Quad A,52,76,8
Drop to 462,1,1,8
Gregorian Quad B,24,53,8
Barbour Hall,16,16,8
111 Brown Street,6,6,8
Grad center A,76,83,8
