Caswell Hall,Olney House,Harkness House,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,Champlin,Woolley,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Grad Center B,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Barbour Hall,111 Brown Street,Mead House,Bronson House,Emery,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Machado,Minden,Morris Hall
42,6,18,8,0,0,0,5,0,6,16,20,1,1,17,12,5,19,3,25,14,16,6,3,3,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,8,0,0,0,5,0,6,16,19,1,1,17,12,5,19,3,25,14,16,6,3,3,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,8,0,0,0,5,0,6,16,18,1,1,17,12,5,19,3,25,14,16,6,3,3,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,8,0,0,0,5,0,6,16,17,1,1,17,12,5,19,3,25,14,16,6,3,3,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,8,0,0,0,5,0,2,16,17,1,1,16,10,3,19,3,25,11,16,6,2,2,0,1,0,18,0,1,2,2,19,2,16,2,19,0,2,11,7,18,2
42,6,18,8,0,0,0,5,0,1,16,17,1,1,16,10,3,19,3,25,11,16,6,2,2,0,1,0,18,0,1,2,2,19,2,16,2,19,0,2,11,7,18,2
42,6,18,8,0,0,0,4,0,0,15,17,1,1,14,9,2,18,2,25,11,16,6,2,1,0,1,0,18,0,0,2,0,19,2,14,2,19,0,2,11,7,16,2
42,6,18,8,0,0,0,4,0,0,15,6,0,1,12,8,0,18,2,25,10,16,6,2,1,0,1,0,18,0,0,2,0,19,2,13,2,19,0,2,11,6,13,2
42,6,18,8,0,0,0,2,0,0,14,3,0,1,11,8,0,18,2,25,10,16,6,1,1,0,1,0,18,0,0,2,0,19,2,12,2,19,0,2,11,4,13,2
42,6,14,8,0,0,0,0,0,0,14,0,0,1,10,6,0,18,2,24,9,16,6,1,1,0,1,0,18,0,0,2,0,19,2,12,2,19,0,2,11,3,13,2
39,6,13,8,0,0,0,0,0,0,13,0,0,1,10,6,0,16,2,22,9,16,6,1,1,0,1,0,12,0,0,2,0,19,2,12,2,19,0,2,11,3,13,2
33,6,13,8,0,0,0,0,0,0,12,0,0,1,9,6,0,16,2,22,9,16,6,1,1,0,1,0,7,0,0,2,0,19,2,12,2,18,0,2,11,1,12,2
28,6,13,8,0,0,0,0,0,0,12,0,0,1,9,6,0,15,2,22,9,15,6,1,1,0,1,0,5,0,0,2,0,18,2,11,2,18,0,2,11,1,11,1
21,6,10,8,0,0,0,0,0,0,10,0,0,1,9,5,0,15,2,22,8,13,6,1,0,0,1,0,4,0,0,2,0,18,2,11,2,18,0,2,11,1,11,1
12,5,9,8,0,0,0,0,0,0,10,0,0,1,9,5,0,15,2,20,8,13,6,1,0,0,1,0,4,0,0,2,0,14,2,10,2,17,0,2,9,1,11,0
4,5,9,8,0,0,0,0,0,0,10,0,0,1,9,4,0,15,2,19,8,11,6,1,0,0,1,0,4,0,0,2,0,12,2,10,2,17,0,2,9,1,7,0
3,5,9,8,0,0,0,0,0,0,10,0,0,1,9,4,0,15,2,19,8,11,6,1,0,0,1,0,4,0,0,2,0,12,2,10,2,17,0,2,9,1,7,0
2,5,9,8,0,0,0,0,0,0,10,0,0,1,9,4,0,15,2,19,8,11,6,1,0,0,1,0,4,0,0,2,0,12,2,10,2,17,0,2,9,1,7,0
1,5,9,8,0,0,0,0,0,0,8,0,0,1,9,3,0,15,2,14,8,11,6,1,0,0,1,0,4,0,0,2,0,9,2,8,2,17,0,2,8,1,4,0
0,5,7,7,0,0,0,0,0,0,5,0,0,1,6,3,0,15,2,11,6,11,6,1,0,0,1,0,4,0,0,2,0,8,2,8,1,16,0,2,7,1,4,0
0,5,5,7,0,0,0,0,0,0,2,0,0,1,4,0,0,15,2,8,6,10,6,1,0,0,1,0,4,0,0,2,0,5,2,7,1,16,0,2,7,1,3,0
0,5,4,7,0,0,0,0,0,0,2,0,0,1,4,0,0,15,2,8,6,10,6,1,0,0,1,0,4,0,0,2,0,5,2,7,1,16,0,2,7,1,3,0
0,5,1,7,0,0,0,0,0,0,2,0,0,1,2,0,0,15,0,8,6,9,6,1,0,0,0,0,4,0,0,2,0,4,2,3,1,16,0,2,7,1,2,0
0,5,0,7,0,0,0,0,0,0,1,0,0,1,2,0,0,15,0,7,5,6,3,1,0,0,0,0,4,0,0,1,0,2,2,2,1,16,0,2,7,1,1,0
0,5,0,5,0,0,0,0,0,0,1,0,0,1,2,0,0,15,0,5,4,4,3,1,0,0,0,0,4,0,0,1,0,0,0,0,1,15,0,2,7,1,0,0
0,5,0,5,0,0,0,0,0,0,1,0,0,1,2,0,0,15,0,5,4,4,3,1,0,0,0,0,4,0,0,1,0,0,0,0,1,14,0,2,7,1,0,0
0,4,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,13,0,1,3,0,1,1,0,0,0,0,4,0,0,1,0,0,0,0,1,11,0,2,5,1,0,0
0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
